wg4m,svg4m
1.591549e-03,1.004513e+00
1.859464e-03,1.004676e+00
2.172477e-03,1.004892e+00
2.538182e-03,1.005173e+00
2.965449e-03,1.005530e+00
3.464639e-03,1.005972e+00
4.047860e-03,1.006503e+00
4.729259e-03,1.007122e+00
5.525361e-03,1.007824e+00
6.455476e-03,1.008609e+00
7.542161e-03,1.009479e+00
8.811775e-03,1.010442e+00
1.029511e-02,1.011509e+00
1.202814e-02,1.012693e+00
1.405290e-02,1.014000e+00
1.641851e-02,1.015433e+00
1.918232e-02,1.016990e+00
2.241139e-02,1.018666e+00
2.618402e-02,1.020452e+00
3.059172e-02,1.022327e+00
3.574139e-02,1.024251e+00
4.175794e-02,1.026151e+00
4.878728e-02,1.027926e+00
5.699991e-02,1.029445e+00
6.240642e-02,1.030152e+00
6.928729e-02,1.030759e+00
7.601681e-02,1.031071e+00
8.252501e-02,1.031145e+00
8.875697e-02,1.031033e+00
9.467212e-02,1.030782e+00
1.009815e-01,1.030381e+00
1.086072e-01,1.029737e+00
1.179056e-01,1.028764e+00
1.293572e-01,1.027366e+00
1.436200e-01,1.025514e+00
1.449705e-01,1.025343e+00
1.693742e-01,1.023033e+00
1.978858e-01,1.023462e+00
2.311971e-01,1.027076e+00
2.701157e-01,1.033636e+00
3.155858e-01,1.044003e+00
3.687101e-01,1.060126e+00
3.739546e-01,1.061973e+00
4.135825e-01,1.077455e+00
4.497226e-01,1.093597e+00
4.821755e-01,1.108452e+00
5.109444e-01,1.119306e+00
5.361755e-01,1.123531e+00
5.581074e-01,1.120414e+00
5.770307e-01,1.112231e+00
5.932576e-01,1.102568e+00
6.008205e-01,1.097789e+00
6.071010e-01,1.093872e+00
6.188607e-01,1.086955e+00
6.288149e-01,1.081738e+00
6.372160e-01,1.077877e+00
6.457293e-01,1.074490e+00
6.561157e-01,1.071058e+00
6.688249e-01,1.067830e+00
6.844316e-01,1.065154e+00
7.036787e-01,1.063484e+00
7.275378e-01,1.063394e+00
7.572973e-01,1.065614e+00
7.946936e-01,1.071137e+00
8.421088e-01,1.081468e+00
9.028771e-01,1.099232e+00
9.494356e-01,1.116170e+00
1.003693e+00,1.139934e+00
1.052448e+00,1.165647e+00
1.085812e+00,1.186077e+00
1.095615e+00,1.192573e+00
1.095931e+00,1.192787e+00
1.121308e+00,1.210761e+00
1.134464e+00,1.220763e+00
1.164486e+00,1.245461e+00
1.174351e+00,1.254171e+00
1.222871e+00,1.301499e+00
1.282274e+00,1.369456e+00
1.355551e+00,1.465081e+00
1.446748e+00,1.588688e+00
1.561430e+00,1.723541e+00
1.707408e+00,1.839960e+00
1.895890e+00,1.927386e+00
2.041401e+00,1.986129e+00
2.103298e+00,2.016281e+00
2.281586e+00,2.140699e+00
2.350302e+00,2.207723e+00
2.448011e+00,2.320404e+00
2.601787e+00,2.517542e+00
2.742626e+00,2.663784e+00
2.870634e+00,2.698224e+00
3.004616e+00,2.586899e+00
3.167261e+00,2.287153e+00
3.366218e+00,1.850539e+00
3.611760e+00,1.399508e+00
3.917913e+00,1.016611e+00
4.304183e+00,7.210307e-01
4.798250e+00,5.018228e-01
5.191988e+00,3.930053e-01
6.065983e+00,2.508369e-01
7.087104e+00,1.650928e-01
8.280115e+00,1.109470e-01
9.673952e+00,7.570888e-02
1.130242e+01,5.229599e-02
1.320502e+01,3.649773e-02
1.542789e+01,2.570162e-02
1.802495e+01,1.824106e-02
2.105919e+01,1.303303e-02
2.460420e+01,9.364105e-03
2.874596e+01,6.758646e-03
3.358493e+01,4.895751e-03
3.923847e+01,3.556299e-03
4.584369e+01,2.588879e-03
5.356081e+01,1.887701e-03
6.257700e+01,1.378116e-03
7.311093e+01,1.007012e-03
8.541809e+01,7.363385e-04
9.979699e+01,5.386886e-04
1.165964e+02,3.942380e-04
1.362237e+02,2.886006e-04
1.591549e+02,2.113114e-04
