wg4sp,svg4sp
1.591549e-03,1.014227e+00
1.859464e-03,1.012690e+00
2.172477e-03,1.010619e+00
2.538182e-03,1.007842e+00
2.965449e-03,1.004143e+00
3.464639e-03,9.992538e-01
4.047860e-03,9.928633e-01
4.729259e-03,9.846271e-01
5.525361e-03,9.742011e-01
6.455476e-03,9.612958e-01
7.542161e-03,9.457504e-01
8.811775e-03,9.276123e-01
1.029511e-02,9.071925e-01
1.202814e-02,8.850603e-01
1.405290e-02,8.619546e-01
1.641851e-02,8.386246e-01
1.918232e-02,8.156480e-01
2.241139e-02,7.932919e-01
2.618402e-02,7.714543e-01
3.059172e-02,7.496932e-01
3.574139e-02,7.273189e-01
4.175794e-02,7.035204e-01
4.878728e-02,6.775027e-01
5.699991e-02,6.486159e-01
6.659502e-02,6.164511e-01
7.780532e-02,5.808757e-01
9.090272e-02,5.419922e-01
1.062049e-01,5.000395e-01
1.240829e-01,4.553072e-01
1.449705e-01,4.081488e-01
1.693742e-01,3.591400e-01
1.978858e-01,3.093045e-01
2.311971e-01,2.602247e-01
2.701157e-01,2.138765e-01
3.155858e-01,1.722832e-01
3.397152e-01,1.548224e-01
3.808946e-01,1.315915e-01
4.202123e-01,1.183803e-01
4.571937e-01,1.194002e-01
4.915325e-01,1.332696e-01
5.230667e-01,1.539581e-01
5.517515e-01,1.769031e-01
5.776324e-01,1.954380e-01
6.008205e-01,2.021181e-01
6.249393e-01,1.932670e-01
6.542533e-01,1.667050e-01
6.901324e-01,1.308422e-01
7.344077e-01,9.703492e-02
7.895674e-01,7.006252e-02
8.590545e-01,4.986564e-02
9.477300e-01,3.503904e-02
1.062611e+00,2.463659e-02
1.090293e+00,2.404875e-02
1.164486e+00,2.377189e-02
1.243729e+00,2.311264e-02
1.280046e+00,2.263904e-02
1.301754e+00,2.230499e-02
1.339471e+00,2.163971e-02
1.456178e+00,1.904948e-02
1.462388e+00,1.889627e-02
1.620912e+00,1.488280e-02
1.775390e+00,1.137246e-02
1.924251e+00,8.694874e-03
2.066288e+00,6.762399e-03
2.200633e+00,5.396769e-03
2.281586e+00,4.750452e-03
2.350302e+00,4.281794e-03
2.448011e+00,3.713275e-03
2.601787e+00,3.000350e-03
2.705687e+00,2.617553e-03
2.742626e+00,2.497194e-03
2.870634e+00,2.133255e-03
3.004616e+00,1.823781e-03
3.167261e+00,1.520361e-03
3.366218e+00,1.230353e-03
3.611760e+00,9.660129e-04
3.917913e+00,7.351931e-04
4.304183e+00,5.400342e-04
4.798250e+00,3.806088e-04
5.191988e+00,2.962463e-04
6.065983e+00,1.818218e-04
7.087104e+00,1.122859e-04
8.280115e+00,6.966018e-05
9.673952e+00,4.336281e-05
1.130242e+01,2.705985e-05
1.320502e+01,1.691564e-05
1.542789e+01,1.058664e-05
1.802495e+01,6.630618e-06
2.105919e+01,4.154817e-06
2.460420e+01,2.604184e-06
2.874596e+01,1.632540e-06
3.358493e+01,1.023525e-06
3.923847e+01,6.417378e-07
4.584369e+01,4.023756e-07
5.356081e+01,2.522983e-07
6.257700e+01,1.581985e-07
7.311093e+01,9.919587e-08
8.541809e+01,6.219949e-08
9.979699e+01,3.900151e-08
1.165964e+02,2.445551e-08
1.362237e+02,1.533461e-08
1.591549e+02,9.615438e-09
